Site_code_LR,Occ_laufnr,Yearocc
NLr117,2103,2000
NLr117,1515,2000
NLr117,1522,1999
NLr117,2105,2005
NLr117,2102,2002
NLr117,2100,2004
NLr117,2101,2003
NLr117,2108,1998
RO641,4656,2007
RO635,4650,2007
RO636,4651,2007
RO639,4654,2007
RO638,4653,2007
RO640,4655,2007
RO642,4657,2007
RO637,4652,2007
RO634,4649,2007
RO633,4648,2007
PL_BIE06,2562,1999
DELR0312N,3871,1999
DELR0312N,3873,2007
DELR0312N,3872,2003
DELR9995H,3874,2007
DELR0310N,3889,1999
DELR0495N,3870,2007
DELR0496N,3869,2003
